「通し番号検索」機能試験用データ
￣￣￣￣￣￣￣￣￣￣￣￣￣￣￣￣

ファイル名		通し番号

rd_0.bmp		0
rd_1.bmp		1
rd_15.bmp		15
rd_16.bmp		16
rd_255.bmp		255
rd_256.bmp		256
rd_2p12287-1.bmp	569582612631521685422969289657966004310649234014307250556899766713321219586234845783653238855818507403971983929295847215430425896801257206375216805964438435987464763297568357146101134938621540293583677794637312463988176631346172574004154753786842909977917938160597351452033836426315292826880930822285621186085652969360164881207765545093976499697242040121579070115466884327158866036431173239328507404083717369283049033432851974217848980345349071910109548941960203501520343228261622554116764640574863431111346738779148682584959627106588424948601946127174219997536564880678382554955010239747696690330757848619651162090969654339066970499164362977633257984751414327612740490447546404757184898929080564920277407248255593212668498963047404763831312667054203389572687249623846024197795507776764192865623101772862265806101803739688998788436284584741894026515189139788438693002015285493375066050102400881565855529237803323380691735562776084627301298367722529125090041549485815206306043878387740186226653765215390088052876934230995116770745724480369979931019991712726969894719552338125568193186452025840096114902342690000916714058156799531612162366538026349733927323422262155896652046962454211600955503432383834446824692447083056843221430889711347634948837940711944922272803957435417947866517254605585304631215431365216866009350378060325542135312990389155778508507230932496746204309352847115788863290055766010666076832763441070478839055958270064947039974402382346295680206892379969290127952919438014401308865441439594076488799393209725823655439864655551982366078723425615234737765792897992417574300400317739647698819969439078221982795112093209909941138516435530481097291051273045239072360595380925129184595950112197653397438436846214497579423920212495574924936588356083701986221779335000159652318018736001479512801625958086513624526135699473162522488844733969309295328694999737020974480422538973708917940805870185256028221693471638931613876485780396156537397422676183214173817101331277603815688531181784243896014538433869918021787039166929540944018468556185425246211000774828460850840514763088746696442738464663818938181415615193635760586433032257479503641758124488020948503640273149057205483510449960446496391773553930341962390591878624444548233626029381326423693388131598606178600278664224748349537310383704871302071207733648155416135951999050797332553142109515146094035058020448854329406765181780175853056134100645561262883591426219314832418572625810090228674522498931128035279198350522262557811686439935895365910966036494744644263809288383107975994628698601935535881297760327932188611772007207667663826307064729769910615972607009103532901379663221503461732685661167765078004553285279803619418254646893324581335721021794620495308799283839755275093565103070753279912253816217030293512406870500752385526998004205774339368309955945967360793729006714646602431106594067628937655917465769974793713328964249868427019822418776893144916577124870808261208361578805407542749196371774934915601006097445259783410937275854711764513179351989343621990904198371660177310708186111839532819441039968014565096639741476382234382314121946130173941447805656637503917825894751296003981117549567926165760473822156829906416091358307573858530556841021485530277146499175629800592588327158813675794858945382893719465492012148282668673643407843640270990671386979498793128839430692312552195499043561747533441199618209656779530442305338565369192807920712679177196634901805651740461113787804431333293086438243715619197206554833452130845675550371664305991611578429313274877862688329810839939512924017041918946096465077650654449385242977755673124528603483593960033027712061603243878688433842271418267792393066311737640645531510697517570326527
rd_2p12287.bmp		569582612631521685422969289657966004310649234014307250556899766713321219586234845783653238855818507403971983929295847215430425896801257206375216805964438435987464763297568357146101134938621540293583677794637312463988176631346172574004154753786842909977917938160597351452033836426315292826880930822285621186085652969360164881207765545093976499697242040121579070115466884327158866036431173239328507404083717369283049033432851974217848980345349071910109548941960203501520343228261622554116764640574863431111346738779148682584959627106588424948601946127174219997536564880678382554955010239747696690330757848619651162090969654339066970499164362977633257984751414327612740490447546404757184898929080564920277407248255593212668498963047404763831312667054203389572687249623846024197795507776764192865623101772862265806101803739688998788436284584741894026515189139788438693002015285493375066050102400881565855529237803323380691735562776084627301298367722529125090041549485815206306043878387740186226653765215390088052876934230995116770745724480369979931019991712726969894719552338125568193186452025840096114902342690000916714058156799531612162366538026349733927323422262155896652046962454211600955503432383834446824692447083056843221430889711347634948837940711944922272803957435417947866517254605585304631215431365216866009350378060325542135312990389155778508507230932496746204309352847115788863290055766010666076832763441070478839055958270064947039974402382346295680206892379969290127952919438014401308865441439594076488799393209725823655439864655551982366078723425615234737765792897992417574300400317739647698819969439078221982795112093209909941138516435530481097291051273045239072360595380925129184595950112197653397438436846214497579423920212495574924936588356083701986221779335000159652318018736001479512801625958086513624526135699473162522488844733969309295328694999737020974480422538973708917940805870185256028221693471638931613876485780396156537397422676183214173817101331277603815688531181784243896014538433869918021787039166929540944018468556185425246211000774828460850840514763088746696442738464663818938181415615193635760586433032257479503641758124488020948503640273149057205483510449960446496391773553930341962390591878624444548233626029381326423693388131598606178600278664224748349537310383704871302071207733648155416135951999050797332553142109515146094035058020448854329406765181780175853056134100645561262883591426219314832418572625810090228674522498931128035279198350522262557811686439935895365910966036494744644263809288383107975994628698601935535881297760327932188611772007207667663826307064729769910615972607009103532901379663221503461732685661167765078004553285279803619418254646893324581335721021794620495308799283839755275093565103070753279912253816217030293512406870500752385526998004205774339368309955945967360793729006714646602431106594067628937655917465769974793713328964249868427019822418776893144916577124870808261208361578805407542749196371774934915601006097445259783410937275854711764513179351989343621990904198371660177310708186111839532819441039968014565096639741476382234382314121946130173941447805656637503917825894751296003981117549567926165760473822156829906416091358307573858530556841021485530277146499175629800592588327158813675794858945382893719465492012148282668673643407843640270990671386979498793128839430692312552195499043561747533441199618209656779530442305338565369192807920712679177196634901805651740461113787804431333293086438243715619197206554833452130845675550371664305991611578429313274877862688329810839939512924017041918946096465077650654449385242977755673124528603483593960033027712061603243878688433842271418267792393066311737640645531510697517570326528
rd_2p128-1.bmp		340282366920938463463374607431768211455
rd_2p128.bmp		340282366920938463463374607431768211456
rd_2p32-1.bmp		4294967295
rd_2p32.bmp		4294967296
rd_2p64-1.bmp		18446744073709551615
rd_2p64.bmp		18446744073709551616
rd_65535.bmp		65535
rd_65536.bmp		65536
rd_all_0.bmp		0
rd_all_1.bmp		1139165225263043370845938579315932008621298468028614501113799533426642439172469691567306477711637014807943967858591694430860851793602514412750433611928876871974929526595136714292202269877243080587167355589274624927976353262692345148008309507573685819955835876321194702904067672852630585653761861644571242372171305938720329762415531090187952999394484080243158140230933768654317732072862346478657014808167434738566098066865703948435697960690698143820219097883920407003040686456523245108233529281149726862222693477558297365169919254213176849897203892254348439995073129761356765109910020479495393380661515697239302324181939308678133940998328725955266515969502828655225480980895092809514369797858161129840554814496511186425336997926094809527662625334108406779145374499247692048395591015553528385731246203545724531612203607479377997576872569169483788053030378279576877386004030570986750132100204801763131711058475606646761383471125552169254602596735445058250180083098971630412612087756775480372453307530430780176105753868461990233541491448960739959862039983425453939789439104676251136386372904051680192229804685380001833428116313599063224324733076052699467854646844524311793304093924908423201911006864767668893649384894166113686442861779422695269897675881423889844545607914870835895733034509211170609262430862730433732018700756120651084270625980778311557017014461864993492408618705694231577726580111532021332153665526882140957678111916540129894079948804764692591360413784759938580255905838876028802617730882879188152977598786419451647310879729311103964732157446851230469475531585795984835148600800635479295397639938878156443965590224186419819882277032871060962194582102546090478144721190761850258369191900224395306794876873692428995158847840424991149849873176712167403972443558670000319304636037472002959025603251916173027249052271398946325044977689467938618590657389999474041948960845077947417835881611740370512056443386943277863227752971560792313074794845352366428347634202662555207631377062363568487792029076867739836043574078333859081888036937112370850492422001549656921701681029526177493392885476929327637876362831230387271521172866064514959007283516248976041897007280546298114410967020899920892992783547107860683924781183757248889096467252058762652847386776263197212357200557328449496699074620767409742604142415467296310832271903998101594665106284219030292188070116040897708658813530363560351706112268201291122525767182852438629664837145251620180457349044997862256070558396701044525115623372879871790731821932072989489288527618576766215951989257397203871071762595520655864377223544014415335327652614129459539821231945214018207065802759326443006923465371322335530156009106570559607238836509293786649162671442043589240990617598567679510550187130206141506559824507632434060587024813741001504771053996008411548678736619911891934721587458013429293204862213188135257875311834931539949587426657928499736854039644837553786289833154249741616522416723157610815085498392743549869831202012194890519566821874551709423529026358703978687243981808396743320354621416372223679065638882079936029130193279482952764468764628243892260347882895611313275007835651789502592007962235099135852331520947644313659812832182716615147717061113682042971060554292998351259601185176654317627351589717890765787438930984024296565337347286815687280541981342773958997586257678861384625104390998087123495066882399236419313559060884610677130738385615841425358354393269803611303480922227575608862666586172876487431238394413109666904261691351100743328611983223156858626549755725376659621679879025848034083837892192930155301308898770485955511346249057206967187920066055424123206487757376867684542836535584786132623475281291063021395035140653055
